vault,name,symbol,block_created,tx_hash,tvl,denomination_asset,policies,creator
0x6Bd395f34EAe8B6B834447E39bB38fcE495FC609,Sigma strategy ,ALF,17556109,0x96bc3beafbd9f80da89fce5bbe42d36f77c11783b558163da6704f3921632857,74.964467,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS_PER_MANAGER ALLOWED_ADAPTERS ALLOWED_EXTERNAL_POSITION_TYPES ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER,0x01E132F76B238a0b6a0B23872441C6C9cA51A2c0
0x3801E8ADb44Ce72609100350A16B2767E37420c7,Alpha strategy ,ALF,17556176,0x699badf5260145552456b20f5b374aff2c485e21307d5fdadccaf84b18e4131a,0,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS_PER_MANAGER ALLOWED_ADAPTERS ALLOWED_EXTERNAL_POSITION_TYPES ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER,0xbFcA38b1CBad7c92bAF8e9426F38076C8f44dB2d
0xB20c5a987498db66DF8D0A6fEDD6BaD5Da96Da56,Alpha strategy ,ALF,17556645,0xeafd2dd97b966dc4507865fb236fb07ede707ae89c647bcfbaff826b2eba6249,594.004051,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS_PER_MANAGER ALLOWED_ADAPTERS ALLOWED_EXTERNAL_POSITION_TYPES ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER,0x4ae7100dc5EAF3988c327c0671d4aC1Cc40341E9
0xa73AACa4160865D263f6a6FC43CeEac69757e8DF,Horizon,ALF,17562440,0x9c5f2856c1b6b582ccf03533a9d0d704d5e4761b88b02a7cca7cd91bd190d534,0,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS_PER_MANAGER ALLOWED_ADAPTERS ALLOWED_EXTERNAL_POSITION_TYPES ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER,0x0cF10B73a9027D97d9a64425d53792CDB519Df27
0x3A6BA289eefB1C038c088c50575d3eF30E33555d,Agio Test Vault,TEST,17562579,0xdee61463f26a347c4d2004c29cf3910df489d105cd6805f98552033f4db293f6,2003.719288,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x34B5F98984b1F61BCbFe07eEEcf6d82CA0125537
0x91Ab473d8f40DF436D785c36324d8a972cdAC9a4,USDC/WBTC Strategy 1,ALF,17576085,0x33d0b744ebd059568f1edb5b6e9dc3c246a53f1a97615a2ae6031b8e9edbd889,111.433721,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS_PER_MANAGER ALLOWED_ADAPTERS ALLOWED_EXTERNAL_POSITION_TYPES ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER,0xDF7508254904aB9823D6a91B21231F9b62587950
0x5A2811ac387B6a24Da9a3E7CC2d86633b056aC6B,VitalikB,MAXI,17621540,0xa9d0a4fe49029d26128f3347384ab112883ea9d3d9e252c4e94f12a0f3ff7a57,0.9911002155531265111703469,WETH,,0x6F1a4EfBFa49368Defb2E075f04540b919b2a868
0xFd86A10aA2BB363932A39B254aA5a67755009870,401 Onchain,401,17638436,0x83cabb48991f9030993cf2d15aa1c46c0dd6bf71fff63efa5832d16d73b1128d,0,USDC,ALLOWED_DEPOSIT_RECIPIENTS CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_SHARES_TRANSFER_RECIPIENTS ALLOWED_ASSETS_FOR_REDEMPTION ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x7578538fC490594AA0aaDbd56D9699575CAe1bC9
0x5BED1A8e3FC6D8D9768492A843c2Da229286a8a9,Lobster test,nUSD,17643244,0x75c71ca3d4212bf38951aed4dbe26708e134cee2df149ff533c55516bfa001ac,17.933143,USDC,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0xA4b1D9ad326cfFac1322939BF0c9b6E692226d1d
0xE709fcA91392805a3f285D4E6B9819288c9e2951,Paradigm Shift,TPS,17697868,0x1756ac0150d4fa223a6e412c637e8e41a0eaecb88b7294315e5e4cd239182d48,149.478591,USDC,ALLOWED_ASSETS_FOR_REDEMPTION,0x6Bb33cC03Fd580df9c562E92671A9C1B8B92e79a
0xb395cFf5f49094Bcf00144246B47cd06D815D689,100x Gems,100X,17702899,0xa5c56ff523f02ed25a90e2101c04492f54433425c1322aad69d911a359cd9a6b,0,USDT,MIN_MAX_INVESTMENT CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_ASSETS_FOR_REDEMPTION ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER ONLY_REMOVE_DUST_EXTERNAL_POSITION,0xB76A4Fb1cEB5b6A0F4Beb76048eB63e40C13235b
0xA07dbf312D4ebAF6D6C26B6828f9F4c53b1dd898,Pioneer Fund,PFT,17705168,0xc89b015cbbb7e66e385a0c20c5d4c0bdcd3217cb2974a27964d670e67103d0fe,115.475093,USDC,ALLOWED_DEPOSIT_RECIPIENTS MIN_MAX_INVESTMENT ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x20A309429321fB2F6Ce948D6099cDc4739e054d6
0x249c85EcE2Dcf985Ced87F4593C7398eb9881269,Avantgarde Smart Fund I,AVGI,17813817,0xc5e83e14454573290200fd1883897a1e85c020884034ff7e92992cdbddeb4c75,897857.306401,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x34B5F98984b1F61BCbFe07eEEcf6d82CA0125537
0x3f6885a3B591B9570a746d729bAe10eF7d94F632,Kefalotiri,TIRI,17818038,0x87c5be19a5c6e0e8bd9ced3e79c7507247d43ede8b3badf78253f720bc6f425d,0,WBTC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_ADAPTERS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0xCE412df2c8C45501edA4747922A000f13A1FFD74
0xd4204d7b4d58d77af1493911AD505e883aE85DE3,Enzyme SMT POC,ENZY,17875883,0x148c526dd620f0d38b928c6941dadb359a57511ef7111bab90786c3199b45a95,60928.959301,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_ADAPTER_INCOMING_ASSETS ALLOWED_ADAPTERS CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_SHARES_TRANSFER_RECIPIENTS ALLOWED_ASSETS_FOR_REDEMPTION,0xB90cf6a3cef858E73659d2a9B8E7b882E360B4aC
